初恋,first love
片思い,one-sided love
失恋,disappointed love
ラブレター,love letter
少女,girl (usually 7-18 y/o)
過ごす,to pass (time); to spend
乙女,maiden
夢見る,to dream (of)
手に負える,handle; manage; control
～ら,~ and others. etc.
ボーっとする,absentmindedly
登下校,travelling to and from school
実に,really; truely; surely
水族館,aquarium
水槽,water tank
グルグル,whir (round and round; in circles)
鮪,tuna
初期,early days; beginning (adj. early; initial; incipient)
芸能人,entertainer
熱を上げる,be enthusiastic; be crazy
CM,commercial message
タレント,talent
若手,young ones
お笑い,comical (story; song); comic
スター,star
分野,field; area
次々と,one after another
若しかしたら,perhaps; by any chance; possibly
若しも,if; in case of; provided
本気で,seriously; in earnest (adj. serious; earnest)
ファンレター,fan letter
裏腹に,contrary to (adj. opposite; reverse)
商魂,commercial spirit; salesmanship
逞しい,strong; powerful
ファンクラブ,fan club
案内状,invitation card; letter of invitation
太り始める,begin gaining weight
情熱,passion; enthusiasm; zeal (adj. passionate)
冷める,cool down
勝手に,freely; as one likes; selfishly
作り上げる,make up; build up; draw up
第～,the ~ (prefix for forming ordinal numbers)
～期,period; time; age; stage
恋物語,love story
等,hitoshi (guy's name)
鈴,bell
肌身離さず,(carrying) close to one's skin
持ち歩く,to carry around
突入する,plunge into
美化する,beautify; idealise
素敵,beautiful; superb; splendid
顔立ち,one's features; face
誠実,good faith (adj. reliable; faithful)
その上,besides; in addition; moreover
お金持ち,rich person; wealthy person (adj. rich; wealthy)
現実に,actually; in reality
絶対,absolutely; never
空想,imagination; fancy (v. fancy; day-dream; imagine)
家柄,family's social standing; lineage; birth
すり替える,replace; secretly change
良家,good family; decent family
設定,establish; set up
お洒落,smartly dressed; dressed up; stylish; fashion-conscious
黄昏時,at twilight; at dusk
窓辺,by the window
間もなく,soon; shortly; in a little while
兎に角,at any rate; anyway
幻,illusion; version (adj. dreamlike; phantom)
スーパーカー,super car
日記帳,diary
つけ始める,begin writing; begin keeping
震撼する,shake; shock
馬鹿,fool; idiot; moron
もん,thing
カラーイラスト,colour illustration
書き続ける,keep writing
当時,at that time; in those days; then
胸,heart; chest; breasts; feelings
いそいそと,delightedly; joyfully
隣町,neighbouring town; adjacent town
進学校,cram high school
男子,youth; young man; boy
生徒,student; pupil; schoolchild
熱烈,passion (adj. passionate; ardent; fervent)
抜ける,to be gone; come out; fall out
ばったりと,with a flop
クラッと,dizzyingly; in a wobbling manner
目眩,dizziness; giddiness
通学,going to school
漫画,manga
純情,pure heart; innocence
真逆,surely not; by no means; certainly not; unlikely; something unexpected
身の上,one's future; one's situation
確実に,certainly; surely
加熱する,heat up
早急,immediate; prompt; rapid
思い詰める,torment oneself with the thought; to be obsessed
嘆く,grieve; lament; sigh
さめざめと,weep bitterly; cry one's heart out
思い込み,subjective impression; assumption; prejudice; biased; wrong impression
激しい,strong; violent; ardent
その内,soon; before long
空想する,fancy; daydream; imagine
悲しむ,feel sad (unhappy); sorrow
酔う,be in an ecstasy of (happiness); be intoxicated with delight
活発,active; lively
行動する,act; behave; conduct oneself
行動を執る,take action; act
真剣,seriousness; earnestness (adj. serious; earnest)
実る,have good results; actualise
反省する,reflect on; think something over
呆れる,be disgusted; be amazed; be shocked
懐かしい,longed-for; so dear to one's heart
パス入れ,case for a season ticket
何の気なしに,unintentionally; quite accidentally
運命,fate; destiny
高校,high school
～年,~ year
修学旅行,school excursion
別々の,different; separate
委員,member of a committee
知り合う,get to know each other; get acquainted with ~
本番,actual; real
～毎に,each ~; every ~
逆の,opposite; reverse
コース,course
巫山戯る,play with; jest; joke
別れ,parting; separation
惜しむ,be unwilling to; be reluctant to; regret
握手する,shake hands
制服,uniform (clothing)
不図,suddenly; unexpectedly
餞別,farewell gift
無造作に,casually; easily
手の平,palm of the hand
ハンカチ,handkerchief
包む,to wrap
年頃,the age; apparent age; age of maturity
不似合い,unlike; unexpected
通う,communicate with; evoke a sympathetic response from somebody
旅,trip; tour
気に掛ける,feel uneasy about; be worried about; be on one's mind
日々,every day; day by day
別れ際,at parting; at separation; at farewell
物語,story; narrative
到頭,finally; at last; in the end
大喧嘩,big fight; huge quarrel
大恋愛,passionate love
単調,monotony (adj. monotonous; dull; flat)
側,near; close; beside
渡す,to ferry across; carry across; to hand over; to pass
決して,(not) ever; (not) by any means; (not) in the least; (not) in any way; [not if neg]
